Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2015-10-28,8188.9,8209.1,8131.8,8171.2,194708669.0,9131.44
2015-10-27,8230.35,8241.95,8217.05,8232.9,161493491.0,8271.49
2015-10-26,8333.65,8336.3,8252.05,8260.55,138006303.0,6799.49
2015-10-23,8308.25,8328.1,8280.75,8295.45,156664310.0,7466.28
2015-10-21,8258.35,8294.4,8217.15,8251.7,149270047.0,6689.35
2015-10-19,8262.55,8283.05,8239.2,8275.05,128300205.0,6880.43
2015-10-16,8193.65,8246.4,8147.65,8238.15,161153559.0,6956.78
2015-10-15,8134.35,8190.55,8129.8,8179.5,172429864.0,7625.17
2015-10-14,8102.4,8139.3,8096.35,8107.9,143158108.0,6607.21
2015-10-12,8231.5,8244.5,8128.2,8143.6,205255913.0,7604.3
2015-10-09,8186.35,8232.2,8139.65,8189.7,205859184.0,7960.62
2015-10-08,8196.75,8196.75,8105.85,8129.35,177030502.0,7837.16
2015-10-07,8146.2,8188.9,8132.9,8177.4,199911165.0,7894.19
2015-10-06,8180.45,8180.95,8096.5,8152.9,184037905.0,8461.64
2015-10-05,8005.1,8128.9,8005.1,8119.3,188830270.0,9589.63
2015-10-01,7992.05,8008.25,7930.65,7950.9,161809883.0,8896.78
2015-09-30,7924.25,7957.7,7874.5,7948.9,217187896.0,9981.56
2015-09-29,7725.7,7926.55,7691.2,7843.3,248106979.0,11184.67
2015-09-28,7892.8,7893.95,7787.95,7795.7,140480206.0,7120.05
2015-09-24,7838.4,7894.5,7804.1,7868.5,208766516.0,9732.18
2015-09-23,7737.35,7882.9,7723.25,7845.95,151196367.0,6869.26
2015-09-22,8014.8,8021.6,7787.75,7812.0,173569429.0,7887.06
2015-09-21,7911.5,7987.9,7908.35,7977.1,125628591.0,5482.45
2015-09-18,7967.45,8055.0,7955.85,7981.9,249313429.0,11328.64
2015-09-16,7886.85,7913.9,7853.3,7899.15,144331414.0,6650.61
2015-09-15,7867.35,7880.0,7799.75,7829.1,140722007.0,6252.35
2015-09-14,7811.1,7879.95,7761.85,7872.25,126630775.0,5277.75
2015-09-11,7833.8,7864.85,7759.9,7789.3,140576943.0,6014.16
2015-09-10,7729.05,7819.85,7678.5,7788.1,165313439.0,6992.42
2015-09-09,7805.85,7846.05,7764.55,7818.6,214842731.0,8550.1
2015-09-08,7587.7,7720.9,7539.5,7688.25,177514609.0,7380.17
2015-09-07,7685.85,7705.05,7545.9,7558.8,145763902.0,5768.15
